word,count
ect,13908
subject,8063
hou,7289
enron,6555
com,3710
deal,3635
please,3200
gas,3036
meter,2716
cc,2391
pm,2343
hpl,2318
e,1991
daren,1901
thanks,1898
need,1846
corp,1776
volume,1690
know,1611
day,1549
price,1524
new,1437
company,1432
may,1384
u,1360
mmbtu,1349
j,1337
get,1321
forwarded,1297
l,1285
http,1242
see,1211
let,1183
contract,1169
farmer,1156
information,1155
change,1147
time,1109
month,1098
attached,1097
would,1078
xl,1049
message,1042
sale,995
one,988
mail,919
th,906
question,905
robert,904
email,890
p,863
sitara,861
ticket,847
nom,832
texas,827
energy,807
service,807
nomination,802
call,790
sent,775
number,768
also,764
www,756
pec,752
file,751
ena,732
flow,723
c,723
report,713
bob,710
production,703
x,698
want,689
product,689
b,662
like,662
net,661
following,651
business,638
system,636
contact,634
order,612
make,606
back,601
daily,586
statement,584
list,578
per,578
could,577
well,569
work,566
gary,564
mary,558
original,557
take,554
purchase,553
delivery,547
stock,546
march,546
go,537
r,529
july,529
help,528
april,528
today,526
first,523
week,519
inc,517
font,517
free,515
year,513
plant,510
effective,508
forward,507
td,504
rate,499
line,493
issue,486
use,484
security,472
set,469
name,464
melissa,462
customer,462
agreement,459
houston,456
group,453
fuel,453
teco,444
oil,441
vance,441
click,437
w,435
within,431
office,431
tenaska,431
le,430
fw,429
point,428
june,427
america,426
next,424
offer,423
look,423
last,419
january,419
nbsp,418
george,417
market,417
north,414
transport,409
date,406
f,405
ami,403
thank,400
request,400
smith,399
management,399
pat,398
think,397
julie,392
available,392
k,392
two,391
based,388
show,386
send,386
h,384
desk,383
term,380
pipeline,380
activity,379
account,378
jackie,376
best,370
due,370
phone,367
looking,366
height,365
high,364
,364
note,362
made,361
address,361
total,360
investment,357
aimee,357
pill,357
problem,356
money,355
noms,354
online,352
lisa,349
mark,349
hour,347
tap,345
fax,343
michael,343
n,343
team,341
process,340
david,339
co,339
friday,338
october,338
future,336
give,336
susan,336
link,335
august,332
size,331
hsc,330
actuals,330
find,325
meeting,323
home,323
transaction,323
cotten,321
taylor,319
john,319
iv,318
currently,315
special,315
megan,312
many,311
resource,310
people,310
internet,310
steve,309
chokshi,308
width,307
still,305
v,305
fee,305
risk,305
sure,304
g,304
check,304
september,304
good,303
tom,299
fyi,298
right,298
receive,298
duke,297
actual,296
said,294
info,294
going,292
december,292
hplc,292
end,292
november,291
site,291
supply,290
feb,290
place,289
since,288
wellhead,287
without,286
cost,285
monday,285
tu,285
spot,284
february,284
plan,283
center,282
state,279
global,279
way,278
clynes,276
million,275
pay,274
window,274
manager,273
eastrans,273
come,271
save,271
graf,270
lloyd,270
buy,268
utility,268
keep,267
counterparty,266
jan,265
copy,265
news,265
brian,265
received,264
review,264
unify,263
invoice,263
employee,263
trading,262
allocation,261
aol,260
young,259
additional,259
software,258
data,257
visit,255
na,255
update,252
natural,252
revised,251
trade,251
id,250
lee,250
project,249
control,248
estimate,247
provide,247
current,246
able,246
result,245
put,244
must,243
support,242
great,242
party,242
computron,242
path,241
tx,241
world,241
detail,241
position,241
operation,241
reply,241
align,241
pg,241
section,240
every,239
access,239
thursday,238
demand,238
much,237
part,236
share,236
txu,235
st,234
development,234
marketing,233
entered,233
performance,233
tr,232
done,231
needed,231
start,231
created,231
continue,230
prior,229
meyers,229
howard,227
long,226
form,226
microsoft,226
nd,225
international,225
technology,225
hank,225
james,224
hplno,224
rita,222
thing,222
increase,221
act,221
lannou,221
even,221
program,221
via,219
dec,219
dollar,219
web,219
field,218
stop,218
tuesday,218
power,218
possible,217
option,217
believe,216
however,216
used,215
correct,214
regarding,214
face,214
create,211
color,209
using,209
professional,209
sell,208
someone,207
thru,206
content,206
type,206
pt,206
pop,205
say,205
period,204
corporation,202
user,202
doc,201
read,201
soon,201
error,201
fact,201
mike,201
add,200
cd,200
border,200
interest,200
financial,200
low,199
buyback,199
firm,199
pefs,198
remove,197
paid,197
enronxgate,197
weissman,196
spreadsheet,196
gc,196
allen,195
katherine,195
cec,195
move,194
hi,193
anything,193
wynne,193
notice,193
camp,192
index,192
carlos,191
payment,191
either,191
another,191
include,191
allocated,190
pipe,190
feel,190
pricing,190
href,190
family,190
jones,190
hplo,190
scheduled,189
event,189
gathering,188
book,188
advice,186
letter,186
ce,186
zero,185
iferc,185
three,184
viagra,184
getting,183
including,182
revision,182
logistics,181
page,180
old,180
working,180
top,179
image,179
br,179
wednesday,178
source,178
imbalance,178
anita,177
tax,177
ee,177
accounting,176
website,176
te,176
swing,175
area,174
equistar,174
better,173
full,173
got,172
application,172
regard,171
amount,171
release,171
item,171
fred,171
sherlyn,170
partner,170
city,170
location,169
thought,169
storage,169
xp,168
flowed,168
adobe,168
survey,168
scheduling,167
follow,167
life,167
already,166
entex,166
operating,166
katy,166
record,165
prescription,165
morning,165
person,165
charge,165
might,165
limited,165
quality,164
provided,164
im,164
src,163
past,163
direct,162
producer,162
scott,162
clem,161
agree,160
changed,160
facility,160
love,160
darren,159
suite,159
schedule,159
